Team,Result,Margin,BR,Toss,Bat,,Opposition,Ground,Start Date
New Zealand,lost,43 runs,0,won,2nd,,v Pakistan,Christchurch,29/01/2011
Australia,won,51 runs,0,won,1st,,v England,Brisbane,30/01/2011
England,lost,51 runs,0,lost,2nd,,v Australia,Brisbane,30/01/2011
Pakistan,won,2 wickets,6,lost,2nd,,v New Zealand,Napier,1/02/2011
New Zealand,lost,2 wickets,6,won,1st,,v Pakistan,Napier,1/02/2011
Australia,won,2 wickets,4,lost,2nd,,v England,Sydney,2/02/2011
England,lost,2 wickets,4,won,1st,,v Australia,Sydney,2/02/2011
Pakistan,won,41 runs,0,lost,1st,,v New Zealand,Hamilton,3/02/2011
New Zealand,lost,41 runs,0,won,2nd,,v Pakistan,Hamilton,3/02/2011
Sri Lanka,won,8 wickets,27,won,2nd,,v West Indies,Colombo (SSC),3/02/2011
West Indies,lost,8 wickets,27,lost,1st,,v Sri Lanka,Colombo (SSC),3/02/2011
New Zealand,won,57 runs,0,lost,1st,,v Pakistan,Auckland,5/02/2011
Pakistan,lost,57 runs,0,won,2nd,,v New Zealand,Auckland,5/02/2011
Australia,won,57 runs,0,won,1st,,v England,Perth,6/02/2011
England,lost,57 runs,0,lost,2nd,,v Australia,Perth,6/02/2011
Sri Lanka,won,26 runs,0,lost,1st,,v West Indies,Colombo (SSC),6/02/2011
West Indies,lost,26 runs,0,won,2nd,,v Sri Lanka,Colombo (SSC),6/02/2011
South Africa,won,7 wickets,43,won,2nd,,v West Indies,Delhi,24/02/2011
West Indies,lost,7 wickets,43,lost,1st,,v South Africa,Delhi,24/02/2011
Australia,won,7 wickets,96,won,2nd,,v New Zealand,Nagpur,25/02/2011
New Zealand,lost,7 wickets,96,lost,1st,,v Australia,Nagpur,25/02/2011
Pakistan,won,11 runs,0,won,1st,,v Sri Lanka,Colombo (RPS),26/02/2011
Sri Lanka,lost,11 runs,0,lost,2nd,,v Pakistan,Colombo (RPS),26/02/2011
England,tied,-,0,lost,2nd,,v India,Bangalore,27/02/2011
India,tied,-,0,won,1st,,v England,Bangalore,27/02/2011
England,won,6 runs,0,won,1st,,v South Africa,Chennai,6/03/2011
South Africa,lost,6 runs,0,lost,2nd,,v England,Chennai,6/03/2011
New Zealand,won,110 runs,0,won,1st,,v Pakistan,Pallekele,8/03/2011
Pakistan,lost,110 runs,0,lost,2nd,,v New Zealand,Pallekele,8/03/2011
South Africa,won,3 wickets,2,lost,2nd,,v India,Nagpur,12/03/2011
India,lost,3 wickets,2,won,1st,,v South Africa,Nagpur,12/03/2011
England,won,18 runs,0,won,1st,,v West Indies,Chennai,17/03/2011
West Indies,lost,18 runs,0,lost,2nd,,v England,Chennai,17/03/2011
Sri Lanka,won,112 runs,0,won,1st,,v New Zealand,Mumbai,18/03/2011
New Zealand,lost,112 runs,0,lost,2nd,,v Sri Lanka,Mumbai,18/03/2011
Pakistan,won,4 wickets,54,lost,2nd,,v Australia,Colombo (RPS),19/03/2011
Australia,lost,4 wickets,54,won,1st,,v Pakistan,Colombo (RPS),19/03/2011
India,won,80 runs,0,won,1st,,v West Indies,Chennai,20/03/2011
West Indies,lost,80 runs,0,lost,2nd,,v India,Chennai,20/03/2011
Pakistan,won,10 wickets,175,lost,2nd,,v West Indies,Dhaka,23/03/2011
West Indies,lost,10 wickets,175,won,1st,,v Pakistan,Dhaka,23/03/2011
India,won,5 wickets,14,lost,2nd,,v Australia,Ahmedabad,24/03/2011
Australia,lost,5 wickets,14,won,1st,,v India,Ahmedabad,24/03/2011
New Zealand,won,49 runs,0,won,1st,,v South Africa,Dhaka,25/03/2011
South Africa,lost,49 runs,0,lost,2nd,,v New Zealand,Dhaka,25/03/2011
Sri Lanka,won,10 wickets,63,lost,2nd,,v England,Colombo (RPS),26/03/2011
England,lost,10 wickets,63,won,1st,,v Sri Lanka,Colombo (RPS),26/03/2011
Sri Lanka,won,5 wickets,13,lost,2nd,,v New Zealand,Colombo (RPS),29/03/2011
New Zealand,lost,5 wickets,13,won,1st,,v Sri Lanka,Colombo (RPS),29/03/2011
India,won,29 runs,0,won,1st,,v Pakistan,Mohali,30/03/2011
Pakistan,lost,29 runs,0,lost,2nd,,v India,Mohali,30/03/2011
India,won,6 wickets,10,lost,2nd,,v Sri Lanka,Mumbai,2/04/2011
Sri Lanka,lost,6 wickets,10,won,1st,,v India,Mumbai,2/04/2011
Pakistan,won,8 wickets,51,lost,2nd,,v West Indies,Gros Islet,23/04/2011
West Indies,lost,8 wickets,51,won,1st,,v Pakistan,Gros Islet,23/04/2011
Pakistan,won,7 wickets,12,won,2nd,,v West Indies,Gros Islet,25/04/2011
West Indies,lost,7 wickets,12,lost,1st,,v Pakistan,Gros Islet,25/04/2011
Pakistan,won,3 wickets,29,won,2nd,,v West Indies,Bridgetown,28/04/2011
West Indies,lost,3 wickets,29,lost,1st,,v Pakistan,Bridgetown,28/04/2011
West Indies,won,1 runs,0,won,2nd,,v Pakistan,Bridgetown,2/05/2011
Pakistan,lost,1 runs,0,lost,1st,,v West Indies,Bridgetown,2/05/2011
West Indies,won,10 wickets,159,lost,2nd,,v Pakistan,Providence,5/05/2011
Pakistan,lost,10 wickets,159,won,1st,,v West Indies,Providence,5/05/2011
India,won,4 wickets,31,lost,2nd,,v West Indies,Port of Spain,6/06/2011
West Indies,lost,4 wickets,31,won,1st,,v India,Port of Spain,6/06/2011
India,won,7 wickets,20,won,2nd,,v West Indies,Port of Spain,8/06/2011
West Indies,lost,7 wickets,20,lost,1st,,v India,Port of Spain,8/06/2011
India,won,3 wickets,22,won,2nd,,v West Indies,North Sound,11/06/2011
West Indies,lost,3 wickets,22,lost,1st,,v India,North Sound,11/06/2011
West Indies,won,103 runs,0,lost,1st,,v India,North Sound,13/06/2011
India,lost,103 runs,0,won,2nd,,v West Indies,North Sound,13/06/2011
West Indies,won,7 wickets,8,won,2nd,,v India,Kingston,16/06/2011
India,lost,7 wickets,8,lost,1st,,v West Indies,Kingston,16/06/2011
England,won,110 runs,0,lost,1st,,v Sri Lanka,The Oval,28/06/2011
Sri Lanka,lost,110 runs,0,won,2nd,,v England,The Oval,28/06/2011
Sri Lanka,won,69 runs,0,lost,1st,,v England,Leeds,1/07/2011
England,lost,69 runs,0,won,2nd,,v Sri Lanka,Leeds,1/07/2011
Sri Lanka,won,6 wickets,10,lost,2nd,,v England,Lord's,3/07/2011
England,lost,6 wickets,10,won,1st,,v Sri Lanka,Lord's,3/07/2011
England,won,10 wickets,145,won,2nd,,v Sri Lanka,Nottingham,6/07/2011
Sri Lanka,lost,10 wickets,145,lost,1st,,v England,Nottingham,6/07/2011
England,won,16 runs,0,won,1st,,v Sri Lanka,Manchester,9/07/2011
Sri Lanka,lost,16 runs,0,lost,2nd,,v England,Manchester,9/07/2011
Australia,won,7 wickets,71,lost,2nd,,v Sri Lanka,Pallekele,10/08/2011
Sri Lanka,lost,7 wickets,71,won,1st,,v Australia,Pallekele,10/08/2011
Australia,won,8 wickets,70,lost,2nd,,v Sri Lanka,Hambantota,14/08/2011
Sri Lanka,lost,8 wickets,70,won,1st,,v Australia,Hambantota,14/08/2011
Sri Lanka,won,78 runs,0,lost,1st,,v Australia,Hambantota,16/08/2011
Australia,lost,78 runs,0,won,2nd,,v Sri Lanka,Hambantota,16/08/2011
Australia,won,5 wickets,132,lost,2nd,,v Sri Lanka,Colombo (RPS),20/08/2011
Sri Lanka,lost,5 wickets,132,won,1st,,v Australia,Colombo (RPS),20/08/2011
Sri Lanka,won,4 wickets,18,won,2nd,,v Australia,Colombo (RPS),22/08/2011
Australia,lost,4 wickets,18,lost,1st,,v Sri Lanka,Colombo (RPS),22/08/2011
England,won,7 wickets,5,won,2nd,,v India,Southampton,6/09/2011
India,lost,7 wickets,5,lost,1st,,v England,Southampton,6/09/2011
England,won,3 wickets,7,won,2nd,,v India,The Oval,9/09/2011
India,lost,3 wickets,7,lost,1st,,v England,The Oval,9/09/2011
England,tied,-,0,won,2nd,,v India,Lord's,11/09/2011
India,tied,-,0,lost,1st,,v England,Lord's,11/09/2011
England,won,6 wickets,10,won,2nd,,v India,Cardiff,16/09/2011
India,lost,6 wickets,10,lost,1st,,v England,Cardiff,16/09/2011
India,won,126 runs,0,won,1st,,v England,Hyderabad (Deccan),14/10/2011
England,lost,126 runs,0,lost,2nd,,v India,Hyderabad (Deccan),14/10/2011
India,won,8 wickets,80,lost,2nd,,v England,Delhi,17/10/2011
England,lost,8 wickets,80,won,1st,,v India,Delhi,17/10/2011
Australia,won,93 runs,0,lost,1st,,v South Africa,Centurion,19/10/2011
South Africa,lost,93 runs,0,won,2nd,,v Australia,Centurion,19/10/2011
India,won,5 wickets,4,lost,2nd,,v England,Mohali,20/10/2011
England,lost,5 wickets,4,won,1st,,v India,Mohali,20/10/2011
India,won,6 wickets,59,lost,2nd,,v England,Mumbai,23/10/2011
England,lost,6 wickets,59,won,1st,,v India,Mumbai,23/10/2011
South Africa,won,80 runs,0,won,1st,,v Australia,Port Elizabeth,23/10/2011
Australia,lost,80 runs,0,lost,2nd,,v South Africa,Port Elizabeth,23/10/2011
India,won,95 runs,0,lost,1st,,v England,Kolkata,25/10/2011
England,lost,95 runs,0,won,2nd,,v India,Kolkata,25/10/2011
Australia,won,3 wickets,15,lost,2nd,,v South Africa,Durban,28/10/2011
South Africa,lost,3 wickets,15,won,1st,,v Australia,Durban,28/10/2011
Pakistan,won,8 wickets,169,lost,2nd,,v Sri Lanka,Dubai (DSC),11/11/2011
Sri Lanka,lost,8 wickets,169,won,1st,,v Pakistan,Dubai (DSC),11/11/2011
Sri Lanka,won,25 runs,0,won,1st,,v Pakistan,Dubai (DSC),14/11/2011
Pakistan,lost,25 runs,0,lost,2nd,,v Sri Lanka,Dubai (DSC),14/11/2011
Pakistan,won,21 runs,0,won,1st,,v Sri Lanka,Dubai (DSC),18/11/2011
Sri Lanka,lost,21 runs,0,lost,2nd,,v Pakistan,Dubai (DSC),18/11/2011
Pakistan,won,26 runs,0,won,1st,,v Sri Lanka,Sharjah,20/11/2011
Sri Lanka,lost,26 runs,0,lost,2nd,,v Pakistan,Sharjah,20/11/2011
Pakistan,won,3 wickets,16,lost,2nd,,v Sri Lanka,Abu Dhabi,23/11/2011
Sri Lanka,lost,3 wickets,16,won,1st,,v Pakistan,Abu Dhabi,23/11/2011
India,won,1 wickets,7,won,2nd,,v West Indies,Cuttack,29/11/2011
West Indies,lost,1 wickets,7,lost,1st,,v India,Cuttack,29/11/2011
India,won,5 wickets,11,won,2nd,,v West Indies,Visakhapatnam,2/12/2011
West Indies,lost,5 wickets,11,lost,1st,,v India,Visakhapatnam,2/12/2011
West Indies,won,16 runs,0,lost,1st,,v India,Ahmedabad,5/12/2011
India,lost,16 runs,0,won,2nd,,v West Indies,Ahmedabad,5/12/2011
India,won,153 runs,0,won,1st,,v West Indies,Indore,8/12/2011
West Indies,lost,153 runs,0,lost,2nd,,v India,Indore,8/12/2011
India,won,34 runs,0,won,1st,,v West Indies,Chennai,11/12/2011
West Indies,lost,34 runs,0,lost,2nd,,v India,Chennai,11/12/2011
South Africa,won,258 runs,0,won,1st,,v Sri Lanka,Paarl,11/01/2012
Sri Lanka,lost,258 runs,0,lost,2nd,,v South Africa,Paarl,11/01/2012
South Africa,won,5 wickets,8,won,2nd,,v Sri Lanka,East London,14/01/2012
Sri Lanka,lost,5 wickets,8,lost,1st,,v South Africa,East London,14/01/2012
South Africa,won,4 runs,0,lost,2nd,,v Sri Lanka,Bloemfontein,17/01/2012
Sri Lanka,lost,4 runs,0,won,1st,,v South Africa,Bloemfontein,17/01/2012
Sri Lanka,won,5 wickets,8,lost,2nd,,v South Africa,Kimberley,20/01/2012
South Africa,lost,5 wickets,8,won,1st,,v Sri Lanka,Kimberley,20/01/2012
Sri Lanka,won,2 wickets,1,won,2nd,,v South Africa,Johannesburg,22/01/2012
South Africa,lost,2 wickets,1,lost,1st,,v Sri Lanka,Johannesburg,22/01/2012
Australia,won,65 runs,0,lost,1st,,v India,Melbourne,5/02/2012
India,lost,65 runs,0,won,2nd,,v Australia,Melbourne,5/02/2012
India,won,4 wickets,20,lost,2nd,,v Sri Lanka,Perth,8/02/2012
Sri Lanka,lost,4 wickets,20,won,1st,,v India,Perth,8/02/2012
Australia,won,5 runs,0,lost,1st,,v Sri Lanka,Perth,10/02/2012
Sri Lanka,lost,5 runs,0,won,2nd,,v Australia,Perth,10/02/2012
India,won,4 wickets,2,lost,2nd,,v Australia,Adelaide,12/02/2012
Australia,lost,4 wickets,2,won,1st,,v India,Adelaide,12/02/2012
England,won,130 runs,0,won,1st,,v Pakistan,Abu Dhabi,13/02/2012
Pakistan,lost,130 runs,0,lost,2nd,,v England,Abu Dhabi,13/02/2012
India,tied,-,0,lost,2nd,,v Sri Lanka,Adelaide,14/02/2012
Sri Lanka,tied,-,0,won,1st,,v India,Adelaide,14/02/2012
England,won,20 runs,0,won,1st,,v Pakistan,Abu Dhabi,15/02/2012
Pakistan,lost,20 runs,0,lost,2nd,,v England,Abu Dhabi,15/02/2012
Sri Lanka,won,8 wickets,101,lost,2nd,,v Australia,Sydney,17/02/2012
Australia,lost,8 wickets,101,won,1st,,v Sri Lanka,Sydney,17/02/2012
England,won,9 wickets,76,lost,2nd,,v Pakistan,Dubai (DSC),18/02/2012
Pakistan,lost,9 wickets,76,won,1st,,v England,Dubai (DSC),18/02/2012
Australia,won,110 runs,0,won,1st,,v India,Brisbane,19/02/2012
India,lost,110 runs,0,lost,2nd,,v Australia,Brisbane,19/02/2012
Sri Lanka,won,51 runs,0,won,1st,,v India,Brisbane,21/02/2012
India,lost,51 runs,0,lost,2nd,,v Sri Lanka,Brisbane,21/02/2012
England,won,4 wickets,4,lost,2nd,,v Pakistan,Dubai (DSC),21/02/2012
Pakistan,lost,4 wickets,4,won,1st,,v England,Dubai (DSC),21/02/2012
Sri Lanka,won,3 wickets,4,lost,2nd,,v Australia,Hobart,24/02/2012
Australia,lost,3 wickets,4,won,1st,,v Sri Lanka,Hobart,24/02/2012
South Africa,won,6 wickets,28,lost,2nd,,v New Zealand,Wellington,25/02/2012
New Zealand,lost,6 wickets,28,won,1st,,v South Africa,Wellington,25/02/2012
Australia,won,87 runs,0,won,1st,,v India,Sydney,26/02/2012
India,lost,87 runs,0,lost,2nd,,v Australia,Sydney,26/02/2012
India,won,7 wickets,80,won,2nd,,v Sri Lanka,Hobart,28/02/2012
Sri Lanka,lost,7 wickets,80,lost,1st,,v India,Hobart,28/02/2012
South Africa,won,6 wickets,70,won,2nd,,v New Zealand,Napier,29/02/2012
New Zealand,lost,6 wickets,70,lost,1st,,v South Africa,Napier,29/02/2012
Sri Lanka,won,9 runs,0,won,1st,,v Australia,Melbourne,2/03/2012
Australia,lost,9 runs,0,lost,2nd,,v Sri Lanka,Melbourne,2/03/2012
South Africa,won,5 wickets,40,won,2nd,,v New Zealand,Auckland,3/03/2012
New Zealand,lost,5 wickets,40,lost,1st,,v South Africa,Auckland,3/03/2012
Australia,won,15 runs,0,won,1st,,v Sri Lanka,Brisbane,4/03/2012
Sri Lanka,lost,15 runs,0,lost,2nd,,v Australia,Brisbane,4/03/2012
Sri Lanka,won,8 wickets,34,lost,2nd,,v Australia,Adelaide,6/03/2012
Australia,lost,8 wickets,34,won,1st,,v Sri Lanka,Adelaide,6/03/2012
Australia,won,16 runs,0,lost,1st,,v Sri Lanka,Adelaide,8/03/2012
Sri Lanka,lost,16 runs,0,won,2nd,,v Australia,Adelaide,8/03/2012
India,won,50 runs,0,lost,1st,,v Sri Lanka,Dhaka,13/03/2012
Sri Lanka,lost,50 runs,0,won,2nd,,v India,Dhaka,13/03/2012
Pakistan,won,6 wickets,61,lost,2nd,,v Sri Lanka,Dhaka,15/03/2012
Sri Lanka,lost,6 wickets,61,won,1st,,v Pakistan,Dhaka,15/03/2012
Australia,won,64 runs,0,won,1st,,v West Indies,Kingstown,16/03/2012
West Indies,lost,64 runs,0,lost,2nd,,v Australia,Kingstown,16/03/2012
India,won,6 wickets,13,lost,2nd,,v Pakistan,Dhaka,18/03/2012
Pakistan,lost,6 wickets,13,won,1st,,v India,Dhaka,18/03/2012
West Indies,won,5 wickets,10,won,2nd,,v Australia,Kingstown,18/03/2012
Australia,lost,5 wickets,10,lost,1st,,v West Indies,Kingstown,18/03/2012
Australia,tied,-,0,won,1st,,v West Indies,Kingstown,20/03/2012
West Indies,tied,-,0,lost,2nd,,v Australia,Kingstown,20/03/2012
West Indies,won,42 runs,0,lost,1st,,v Australia,Gros Islet,23/03/2012
Australia,lost,42 runs,0,won,2nd,,v West Indies,Gros Islet,23/03/2012
Australia,won,30 runs,0,lost,1st,,v West Indies,Gros Islet,25/03/2012
West Indies,lost,30 runs,0,won,2nd,,v Australia,Gros Islet,25/03/2012
Pakistan,won,6 wickets,47,lost,2nd,,v Sri Lanka,Pallekele,7/06/2012
Sri Lanka,lost,6 wickets,47,won,1st,,v Pakistan,Pallekele,7/06/2012
Sri Lanka,won,76 runs,0,won,1st,,v Pakistan,Pallekele,9/06/2012
Pakistan,lost,76 runs,0,lost,2nd,,v Sri Lanka,Pallekele,9/06/2012
Sri Lanka,won,44 runs,0,won,1st,,v Pakistan,Colombo (RPS),16/06/2012
Pakistan,lost,44 runs,0,lost,2nd,,v Sri Lanka,Colombo (RPS),16/06/2012
England,won,114 runs,0,lost,1st,,v West Indies,Southampton,16/06/2012
West Indies,lost,114 runs,0,won,2nd,,v England,Southampton,16/06/2012
Sri Lanka,won,2 wickets,2,lost,2nd,,v Pakistan,Colombo (RPS),18/06/2012
Pakistan,lost,2 wickets,2,won,1st,,v Sri Lanka,Colombo (RPS),18/06/2012
England,won,8 wickets,30,won,2nd,,v West Indies,The Oval,19/06/2012
West Indies,lost,8 wickets,30,lost,1st,,v England,The Oval,19/06/2012
England,won,15 runs,0,lost,1st,,v Australia,Lord's,29/06/2012
Australia,lost,15 runs,0,won,2nd,,v England,Lord's,29/06/2012
England,won,6 wickets,26,lost,2nd,,v Australia,The Oval,1/07/2012
Australia,lost,6 wickets,26,won,1st,,v England,The Oval,1/07/2012
West Indies,won,9 wickets,52,won,2nd,,v New Zealand,Kingston,5/07/2012
New Zealand,lost,9 wickets,52,lost,1st,,v West Indies,Kingston,5/07/2012
England,won,8 wickets,13,won,2nd,,v Australia,Chester-le-Street,7/07/2012
Australia,lost,8 wickets,13,lost,1st,,v England,Chester-le-Street,7/07/2012
West Indies,won,55 runs,0,lost,1st,,v New Zealand,Kingston,7/07/2012
New Zealand,lost,55 runs,0,won,2nd,,v West Indies,Kingston,7/07/2012
England,won,7 wickets,11,won,2nd,,v Australia,Manchester,10/07/2012
Australia,lost,7 wickets,11,lost,1st,,v England,Manchester,10/07/2012
New Zealand,won,88 runs,0,lost,1st,,v West Indies,Basseterre,11/07/2012
West Indies,lost,88 runs,0,won,2nd,,v New Zealand,Basseterre,11/07/2012
West Indies,won,24 runs,0,won,1st,,v New Zealand,Basseterre,14/07/2012
New Zealand,lost,24 runs,0,lost,2nd,,v West Indies,Basseterre,14/07/2012
West Indies,won,20 runs,0,won,1st,,v New Zealand,Basseterre,16/07/2012
New Zealand,lost,20 runs,0,lost,2nd,,v West Indies,Basseterre,16/07/2012
India,won,21 runs,0,won,1st,,v Sri Lanka,Hambantota,21/07/2012
Sri Lanka,lost,21 runs,0,lost,2nd,,v India,Hambantota,21/07/2012
Sri Lanka,won,9 wickets,181,lost,2nd,,v India,Hambantota,24/07/2012
India,lost,9 wickets,181,won,1st,,v Sri Lanka,Hambantota,24/07/2012
India,won,5 wickets,2,lost,2nd,,v Sri Lanka,Colombo (RPS),28/07/2012
Sri Lanka,lost,5 wickets,2,won,1st,,v India,Colombo (RPS),28/07/2012
India,won,6 wickets,46,lost,2nd,,v Sri Lanka,Colombo (RPS),31/07/2012
Sri Lanka,lost,6 wickets,46,won,1st,,v India,Colombo (RPS),31/07/2012
India,won,20 runs,0,won,1st,,v Sri Lanka,Pallekele,4/08/2012
Sri Lanka,lost,20 runs,0,lost,2nd,,v India,Pallekele,4/08/2012
South Africa,won,80 runs,0,won,1st,,v England,Southampton,28/08/2012
England,lost,80 runs,0,lost,2nd,,v South Africa,Southampton,28/08/2012
Australia,won,4 wickets,10,lost,2nd,,v Pakistan,Sharjah,28/08/2012
Pakistan,lost,4 wickets,10,won,1st,,v Australia,Sharjah,28/08/2012
England,won,4 wickets,12,lost,2nd,,v South Africa,The Oval,31/08/2012
South Africa,lost,4 wickets,12,won,1st,,v England,The Oval,31/08/2012
Pakistan,won,7 wickets,38,lost,2nd,,v Australia,Abu Dhabi,31/08/2012
Australia,lost,7 wickets,38,won,1st,,v Pakistan,Abu Dhabi,31/08/2012
England,won,6 wickets,20,won,2nd,,v South Africa,Lord's,2/09/2012
South Africa,lost,6 wickets,20,lost,1st,,v England,Lord's,2/09/2012
Australia,won,3 wickets,18,won,2nd,,v Pakistan,Sharjah,3/09/2012
Pakistan,lost,3 wickets,18,lost,1st,,v Australia,Sharjah,3/09/2012
South Africa,won,7 wickets,93,lost,2nd,,v England,Nottingham,5/09/2012
England,lost,7 wickets,93,won,1st,,v South Africa,Nottingham,5/09/2012
Sri Lanka,won,14 runs,0,lost,2nd,,v New Zealand,Pallekele,4/11/2012
New Zealand,lost,14 runs,0,won,1st,,v Sri Lanka,Pallekele,4/11/2012
Sri Lanka,won,7 wickets,11,won,2nd,,v New Zealand,Pallekele,6/11/2012
New Zealand,lost,7 wickets,11,lost,1st,,v Sri Lanka,Pallekele,6/11/2012
Sri Lanka,won,7 wickets,34,won,2nd,,v New Zealand,Hambantota,10/11/2012
New Zealand,lost,7 wickets,34,lost,1st,,v Sri Lanka,Hambantota,10/11/2012
Pakistan,won,6 wickets,11,won,2nd,,v India,Chennai,30/12/2012
India,lost,6 wickets,11,lost,1st,,v Pakistan,Chennai,30/12/2012
Pakistan,won,85 runs,0,lost,1st,,v India,Kolkata,3/01/2013
India,lost,85 runs,0,won,2nd,,v Pakistan,Kolkata,3/01/2013
India,won,10 runs,0,won,1st,,v Pakistan,Delhi,6/01/2013
Pakistan,lost,10 runs,0,lost,2nd,,v India,Delhi,6/01/2013
Australia,won,107 runs,0,won,1st,,v Sri Lanka,Melbourne,11/01/2013
Sri Lanka,lost,107 runs,0,lost,2nd,,v Australia,Melbourne,11/01/2013
England,won,9 runs,0,won,1st,,v India,Rajkot,11/01/2013
India,lost,9 runs,0,lost,2nd,,v England,Rajkot,11/01/2013
Sri Lanka,won,8 wickets,59,won,2nd,,v Australia,Adelaide,13/01/2013
Australia,lost,8 wickets,59,lost,1st,,v Sri Lanka,Adelaide,13/01/2013
India,won,127 runs,0,won,1st,,v England,Kochi,15/01/2013
England,lost,127 runs,0,lost,2nd,,v India,Kochi,15/01/2013
Sri Lanka,won,4 wickets,180,lost,2nd,,v Australia,Brisbane,18/01/2013
Australia,lost,4 wickets,180,won,1st,,v Sri Lanka,Brisbane,18/01/2013
India,won,7 wickets,131,won,2nd,,v England,Ranchi,19/01/2013
England,lost,7 wickets,131,lost,1st,,v India,Ranchi,19/01/2013
New Zealand,won,1 wickets,26,won,2nd,,v South Africa,Paarl,19/01/2013
South Africa,lost,1 wickets,26,lost,1st,,v New Zealand,Paarl,19/01/2013
New Zealand,won,27 runs,0,lost,1st,,v South Africa,Kimberley,22/01/2013
South Africa,lost,27 runs,0,won,2nd,,v New Zealand,Kimberley,22/01/2013
Australia,won,32 runs,0,lost,1st,,v Sri Lanka,Hobart,23/01/2013
Sri Lanka,lost,32 runs,0,won,2nd,,v Australia,Hobart,23/01/2013
India,won,5 wickets,15,won,2nd,,v England,Mohali,23/01/2013
England,lost,5 wickets,15,lost,1st,,v India,Mohali,23/01/2013
South Africa,won,1 wickets,0,lost,2nd,,v New Zealand,Potchefstroom,25/01/2013
New Zealand,lost,1 wickets,0,won,1st,,v South Africa,Potchefstroom,25/01/2013
England,won,7 wickets,16,won,2nd,,v India,Dharamsala,27/01/2013
India,lost,7 wickets,16,lost,1st,,v England,Dharamsala,27/01/2013
Australia,won,9 wickets,244,lost,2nd,,v West Indies,Perth,1/02/2013
West Indies,lost,9 wickets,244,won,1st,,v Australia,Perth,1/02/2013
Australia,won,54 runs,0,lost,1st,,v West Indies,Perth,3/02/2013
West Indies,lost,54 runs,0,won,2nd,,v Australia,Perth,3/02/2013
Australia,won,39 runs,0,won,1st,,v West Indies,Canberra,6/02/2013
West Indies,lost,39 runs,0,lost,2nd,,v Australia,Canberra,6/02/2013
Australia,won,5 wickets,31,lost,2nd,,v West Indies,Sydney,8/02/2013
West Indies,lost,5 wickets,31,won,1st,,v Australia,Sydney,8/02/2013
Australia,won,17 runs,0,lost,1st,,v West Indies,Melbourne,10/02/2013
West Indies,lost,17 runs,0,won,2nd,,v Australia,Melbourne,10/02/2013
New Zealand,won,3 wickets,7,won,2nd,,v England,Hamilton,17/02/2013
England,lost,3 wickets,7,lost,1st,,v New Zealand,Hamilton,17/02/2013
England,won,8 wickets,14,won,2nd,,v New Zealand,Napier,20/02/2013
New Zealand,lost,8 wickets,14,lost,1st,,v England,Napier,20/02/2013
England,won,5 wickets,75,won,2nd,,v New Zealand,Auckland,23/02/2013
New Zealand,lost,5 wickets,75,lost,1st,,v England,Auckland,23/02/2013
South Africa,won,125 runs,0,lost,1st,,v Pakistan,Bloemfontein,10/03/2013
Pakistan,lost,125 runs,0,won,2nd,,v South Africa,Bloemfontein,10/03/2013
Pakistan,won,6 wickets,28,lost,2nd,,v South Africa,Centurion,15/03/2013
South Africa,lost,6 wickets,28,won,1st,,v Pakistan,Centurion,15/03/2013
South Africa,won,34 runs,0,lost,1st,,v Pakistan,Johannesburg,17/03/2013
Pakistan,lost,34 runs,0,won,2nd,,v South Africa,Johannesburg,17/03/2013
Pakistan,won,3 wickets,8,lost,2nd,,v South Africa,Durban,21/03/2013
South Africa,lost,3 wickets,8,won,1st,,v Pakistan,Durban,21/03/2013
South Africa,won,6 wickets,36,lost,2nd,,v Pakistan,Benoni,24/03/2013
Pakistan,lost,6 wickets,36,won,1st,,v South Africa,Benoni,24/03/2013
New Zealand,won,5 wickets,19,won,2nd,,v England,Lord's,31/05/2013
England,lost,5 wickets,19,lost,1st,,v New Zealand,Lord's,31/05/2013
New Zealand,won,86 runs,0,won,1st,,v England,Southampton,2/06/2013
England,lost,86 runs,0,lost,2nd,,v New Zealand,Southampton,2/06/2013
England,won,34 runs,0,lost,1st,,v New Zealand,Nottingham,5/06/2013
New Zealand,lost,34 runs,0,won,2nd,,v England,Nottingham,5/06/2013
India,won,26 runs,0,lost,1st,,v South Africa,Cardiff,6/06/2013
South Africa,lost,26 runs,0,won,2nd,,v India,Cardiff,6/06/2013
West Indies,won,2 wickets,56,won,2nd,,v Pakistan,The Oval,7/06/2013
Pakistan,lost,2 wickets,56,lost,1st,,v West Indies,The Oval,7/06/2013
England,won,48 runs,0,won,1st,,v Australia,Birmingham,8/06/2013
Australia,lost,48 runs,0,lost,2nd,,v England,Birmingham,8/06/2013
New Zealand,won,1 wickets,81,lost,2nd,,v Sri Lanka,Cardiff,9/06/2013
Sri Lanka,lost,1 wickets,81,won,1st,,v New Zealand,Cardiff,9/06/2013
South Africa,won,67 runs,0,won,1st,,v Pakistan,Birmingham,10/06/2013
Pakistan,lost,67 runs,0,lost,2nd,,v South Africa,Birmingham,10/06/2013
India,won,8 wickets,65,won,2nd,,v West Indies,The Oval,11/06/2013
West Indies,lost,8 wickets,65,lost,1st,,v India,The Oval,11/06/2013
Sri Lanka,won,7 wickets,17,won,2nd,,v England,The Oval,13/06/2013
England,lost,7 wickets,17,lost,1st,,v Sri Lanka,The Oval,13/06/2013
South Africa,tied,-,0,lost,1st,,v West Indies,Cardiff,14/06/2013
